State,Year,Male,Female,Total Pop
Nevada,2018,2787,2911,2922849
New Hampshire,2018,1645,2139,1343622
New Jersey,2018,4931,5149,8881845
New Mexico,2018,2305,2182,2092434
New York,2018,8358,7884,19618453
North Carolina,2018,4986,6699,10155624
North Dakota,2018,1339,1301,752201
Ohio,2018,5327,5391,11641879
Oklahoma,2018,2413,2687,3918137
Oregon,2018,3232,3350,4081943
Pennsylvania,2018,5083,5975,12791181
Rhode Island,2018,1847,1497,1056611
South Carolina,2018,3591,3952,4955925
South Dakota,2018,1298,1392,864289
Tennessee,2018,3921,4391,6651089
Texas,2018,10619,10392,27885195
Utah,2018,2340,2689,3045350
Vermont,2018,1032,1059,624977
Virginia,2018,5020,5191,8413774
West Virginia,2018,1867,1802,1829054
Washington,2018,4386,4886,7294336
Wisconsin,2018,3760,3771,5778394
Wyoming,2018,1147,1188,581836
Puerto Rico,2018,2974,3684,3386941
Alabama,2018,3111,3676,4864680
Alaska,2018,1179,1327,738516
Arizona,2018,3547,3678,6946685
Arkansas,2018,2578,2869,2990671
California,2018,12101,11304,39148760
Colorado,2018,3841,4173,5531141
Connecticut,2018,3161,2657,3581504
Delaware,2018,1279,1434,949495
District of Columbia,2018,1434,1407,684498
Florida,2018,9901,9985,20598139
Georgia,2018,5886,5851,10297484
Idaho,2018,1829,2316,1687809
Hawaii,2018,1890,2410,1422029
Illinois,2018,6469,6933,12821497
Indiana,2018,3687,4132,6637426
Iowa,2018,2784,2599,3132499
Kansas,2018,2523,2916,2908776
Kentucky,2018,2939,3073,4440204
Louisiana,2018,4281,4073,4663616
Maine,2018,1726,1622,1332813
Maryland,2018,3871,3681,6003435
Massachusetts,2018,4592,5503,6830193
Michigan,2018,4321,4337,9957488
