State,year,Total Population,White (pop),Black (pop),Native/Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Native/Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
South Dakota,2009,796513,693239,7547,66667,0.008701678440904291,204,14951,20070,0.87,0.009,0.084,0.0,0.0,0.019,0.025
Tennessee,2009,6158953,4875744,1016050,15614,0.013365421038283618,3116,86209,228443,0.792,0.165,0.003,0.0,0.001,0.014,0.037
Texas,2009,23819042,17111322,2738904,121241,0.03404183929815481,19237,458091,8555099,0.718,0.115,0.005,0.0,0.001,0.019,0.359
Utah,2009,2651816,2376805,27229,32008,0.019972728122916523,20531,52481,306531,0.896,0.01,0.012,0.0,0.008,0.02,0.116
Virginia,2009,7721730,5458832,1510139,22932,0.048148277652805785,5804,159701,514959,0.707,0.196,0.003,0.0,0.001,0.021,0.067
Vermont,2009,620414,595731,4820,1713,0.010891114642803032,82,9260,8434,0.96,0.008,0.003,0.0,0.0,0.015,0.014
Washington,2009,6465755,5201398,220417,91437,0.06565838018916584,28884,244250,623825,0.804,0.034,0.014,0.0,0.004,0.038,0.096
Wisconsin,2009,5599420,4911907,332660,48025,0.020623564583474717,1339,81598,276244,0.877,0.059,0.009,0.0,0.0,0.015,0.049
West Virginia,2009,1811403,1707128,59677,3008,0.006326035675109294,660,25359,19574,0.942,0.033,0.002,0.0,0.0,0.014,0.011
Wyoming,2009,523949,479259,4818,11770,0.007309871762328013,180,13022,39783,0.915,0.009,0.022,0.0,0.0,0.025,0.076
Alabama,2010,4712651,3293917,1232325,25814,0.010868405065429203,1769,61370,162371,0.699,0.261,0.005,0.0,0.0,0.013,0.034
Alaska,2010,691189,464150,22655,98120,0.05211454464697789,6317,54093,38393,0.672,0.033,0.142,0.0,0.009,0.078,0.056
Arizona,2010,6246816,4883606,240655,278336,0.026679671691946745,12038,166541,1814674,0.782,0.039,0.045,0.0,0.002,0.027,0.29
Arkansas,2010,2872684,2253875,445197,19192,0.01160134564052294,4133,51578,168427,0.785,0.155,0.007,0.0,0.001,0.018,0.059
California,2010,36637290,22392713,2246311,283628,0.1295743216815436,140429,1378348,13456157,0.611,0.061,0.008,0.0,0.004,0.038,0.367
Colorado,2010,4887061,4082565,190598,47022,0.027242140010120604,5757,150461,983326,0.835,0.039,0.01,0.0,0.001,0.031,0.201
Connecticut,2010,3545837,2795926,342764,7959,0.036635637791584894,1332,78792,447111,0.789,0.097,0.002,0.0,0.0,0.022,0.126
Delaware,2010,881278,626426,185253,3076,0.03167445459888934,457,18237,66915,0.711,0.21,0.003,0.0,0.001,0.021,0.076
District of Columbia,2010,584400,222375,309048,1625,0.03477583846680356,362,10646,51301,0.381,0.529,0.003,0.0,0.001,0.018,0.088
Florida,2010,18511620,14115228,2900412,54570,0.024016482620105643,10797,361900,3995324,0.763,0.157,0.003,0.0,0.001,0.02,0.216
Georgia,2010,9468815,5788255,2873069,23234,0.031364642777369715,4850,143911,784712,0.611,0.303,0.002,0.0,0.001,0.015,0.083
Hawaii,2010,1333591,333842,21170,3506,0.39430979963122126,127661,305600,115433,0.25,0.016,0.003,0.0,0.096,0.229,0.087
Idaho,2010,1526797,1407354,8674,18951,0.011749433618221675,2284,37370,161337,0.922,0.006,0.012,0.0,0.001,0.024,0.106
Illinois,2010,12745359,9136680,1860305,24729,0.04484275413505418,3290,221214,1939928,0.717,0.146,0.002,0.0,0.0,0.017,0.152
Indiana,2010,6417398,5461258,572352,14487,0.014988785174302731,1510,122645,361472,0.851,0.089,0.002,0.0,0.0,0.019,0.056
Iowa,2010,3016267,2773410,82682,9825,0.016697129266076246,961,50491,136932,0.919,0.027,0.003,0.0,0.0,0.017,0.045
Kansas,2010,2809329,2391786,161768,24422,0.02353551328448893,1625,82469,276108,0.851,0.058,0.009,0.0,0.001,0.029,0.098
Kentucky,2010,4285828,3792514,330764,8794,0.01064065100139343,2674,65300,117348,0.885,0.077,0.002,0.0,0.001,0.015,0.027
Louisiana,2010,4429940,2819074,1405685,27352,0.015171763048709463,1416,58860,172754,0.636,0.317,0.006,0.0,0.0,0.013,0.039
Maine,2010,1327665,1268805,13903,7002,0.010117009938501053,438,19953,17043,0.956,0.01,0.005,0.0,0.0,0.015,0.013
Maryland,2010,5696423,3396216,1665235,16213,0.05346758834447512,2977,132256,429946,0.596,0.292,0.003,0.0,0.001,0.023,0.075
Massachusetts,2010,6477096,5289078,422303,12584,0.0518605869049957,2281,144079,584975,0.817,0.065,0.002,0.0,0.0,0.022,0.09
Michigan,2010,9952687,7895340,1401616,54502,0.024404062943002226,2722,210788,423412,0.793,0.141,0.005,0.0,0.0,0.021,0.043
Minnesota,2010,5241914,4539826,257165,55370,0.03895561811964103,2135,107609,233716,0.866,0.049,0.011,0.0,0.0,0.021,0.045
Mississippi,2010,2941991,1761910,1088270,13610,0.008392615748994473,636,29446,69834,0.599,0.37,0.005,0.0,0.0,0.01,0.024
Missouri,2010,5922314,4938222,679062,22829,0.01555928983164351,5201,123752,198670,0.834,0.115,0.004,0.0,0.001,0.021,0.034
Montana,2010,973739,874571,4325,60135,0.006255269635908596,609,21958,27260,0.898,0.004,0.062,0.0,0.001,0.023,0.028
Nebraska,2010,1799125,1587857,77986,15651,0.016465781977350102,1209,37772,151971,0.883,0.043,0.009,0.0,0.001,0.021,0.084
Nevada,2010,2633331,1938033,207567,28403,0.0698655049441183,15526,92441,673897,0.736,0.079,0.011,0.0,0.006,0.035,0.256
New Hampshire,2010,1313939,1241539,14186,2835,0.021122746185325194,287,17341,35338,0.945,0.011,0.002,0.0,0.0,0.013,0.027
New Jersey,2010,8721577,6074010,1176241,19683,0.08000709046081919,2303,174609,1468176,0.696,0.135,0.002,0.0,0.0,0.02,0.168
New Mexico,2010,2013122,1433955,39935,188217,0.013641994871647124,1088,61309,913902,0.712,0.02,0.093,0.0,0.001,0.03,0.454
New York,2010,19229752,12764402,2990591,66876,0.07240759007188444,5334,402373,3288880,0.664,0.156,0.003,0.0,0.0,0.021,0.171
North Carolina,2010,9271178,6453727,1980942,106026,0.0210321708848649,5170,174077,723408,0.696,0.214,0.011,0.0,0.001,0.019,0.078
North Dakota,2010,659858,597392,7034,34798,0.00929290847424749,439,10351,12878,0.905,0.011,0.053,0.0,0.001,0.016,0.02
Ohio,2010,11512431,9598726,1391240,22785,0.016196752883904365,2162,212840,333019,0.834,0.121,0.002,0.0,0.0,0.018,0.029
Oklahoma,2010,3675339,2720135,267179,259809,0.01675518911316752,3967,263896,302167,0.74,0.073,0.071,0.0,0.001,0.072,0.082
Oregon,2010,3761925,3220250,66427,60612,0.036023578354167085,12100,131193,420195,0.856,0.018,0.016,0.0,0.003,0.035,0.112
Pennsylvania,2010,12612705,10460096,1347052,18205,0.026357153362423048,3012,196836,656508,0.829,0.107,0.001,0.0,0.0,0.016,0.052
Rhode Island,2010,1056389,866678,62082,4521,0.02933673107160336,357,23479,124432,0.82,0.059,0.004,0.0,0.0,0.022,0.118
South Carolina,2010,4511428,3034000,1269484,14095,0.012033440409555467,2053,66819,208754,0.673,0.281,0.003,0.0,0.0,0.015,0.046
South Dakota,2010,799462,692330,8874,68215,0.008913494324933519,241,15551,20444,0.866,0.011,0.085,0.0,0.0,0.019,0.026
Tennessee,2010,6234968,4910745,1037376,15237,0.013994779123164706,2987,95310,261448,0.788,0.166,0.002,0.0,0.0,0.015,0.042
Texas,2010,24311891,17503446,2864666,119680,0.03721763148740672,19005,488717,8917477,0.72,0.118,0.005,0.0,0.001,0.02,0.367
Utah,2010,2657236,2375876,27030,30831,0.019962848614123847,23944,55584,326806,0.894,0.01,0.012,0.0,0.009,0.021,0.123
Vermont,2010,624258,596947,5494,1832,0.011847665548539226,87,10139,9154,0.956,0.009,0.003,0.0,0.0,0.016,0.015
Virginia,2010,7841754,5479975,1532150,24941,0.05311936589696642,5711,180736,574966,0.699,0.195,0.003,0.0,0.001,0.023,0.073
